"species","nonnative_area_km2"
"Crotalaria alata",2341.94058663495
"Crotalaria angulata",0
"Crotalaria grahamiana",92988.920136592
"Crotalaria laburnifolia",22259.5460085003
"Crotalaria linifolia",8011.98176359411
"Crotalaria mysorensis",0
"Crotalaria prostrata",2380.89548816406
"Crotalaria quinquefolia",643.349986407459
"Crotalaria sagittalis",1693.82594972552
"Crotalaria triquetra",2349.51051401643
"Cruciata glabra",69127.9268686242
"Cruciata laevipes",28767.6860690222
"Cruciata pedemontana",710132.453794237
"Crupina vulgaris",37174.9623369664
"Cryptocoryne walkeri",0
"Cryptocoryne wendtii",2620.22133107205
"Culcita macrocarpa",8693.16362291391
"Cullen corylifolium",5108.58296265174
"Cupressus sempervirens",92483.9590370919
"Curculigo capitulata",33668.5628700624
"Cuscuta approximata",28410.8289300157
"Cuscuta australis",20259.8854856143
"Cuscuta chinensis",9247.84314652823
"Cuscuta epilinum",177077.144356974
"Cuscuta epithymum",427733.942689961
"Cuscuta europaea",260066.595437234
"Cuscuta lupuliformis",136099.356195962
"Cuscuta monogyna",25962.9958300753
"Cuscuta reflexa",0
"Cyanotis cristata",0
"Cyanthillium patulum",0
"Cyathula prostrata",204334.582228412
"Cycas circinalis",593.879091299925
"Cyclamen coum",106230.164974657
"Cyclamen purpurascens",4188.818300311
"Cyclamen repandum",46922.4389912846
"Cylindropuntia tunicata",132792.520112924
"Cymbidium aloifolium",0
"Cymbopogon flexuosus",0
"Cynara cardunculus",541684.240881258
"Cynodon dactylon",5653410.57585444
"Cynoglottis barrelieri",17856.1513242997
"Cynosurus cristatus",427494.771512125
"Cynosurus echinatus",841494.940770927
"Cyperus acuminatus",0
"Cyperus alopecuroides",17390.3458664811
"Cyperus articulatus",4757.49630218841
"Cyperus corymbosus",1294.79358065442
"Cyperus cuspidatus",0
"Cyperus cyperoides",6120.58999113822
"Cyperus digitatus",0
"Cyperus distans",4064.3437513366
"Cyperus dubius",8978.4559408259
"Cyperus flavescens",30456.78196238
"Cyperus flavidus",0
"Cyperus fuscus",66803.0901531572
"Cyperus glomeratus",80612.3927411589
"Cyperus hamulosus",7115.47836763595
"Cyperus hyalinus",21024.5033218669
"Cyperus imbricatus",2086.13239027707
"Cyperus iria",570258.624947448
"Cyperus laevigatus",1419.1467925123
"Cyperus longus",39128.3599253707
"Cyperus melanospermus",0
"Cyperus neotropicalis",0
"Cyperus papyrus",267710.33673038
"Cyperus pilosus",4590.14965830032
"Cyperus polystachyos",27420.8688399597
"Cyperus procerus",0
"Cyperus pumilus",20348.6512985199
"Cyperus rotundus",1806297.42955082
"Cyperus serotinus",0
"Cyperus stoloniferus",0
"Cyperus tenuiculmis",0
"Cyperus unioloides",9682.57289725333
"Cyrtococcum oxyphyllum",1.26696831301087
"Cyrtomium falcatum",901584.82836512
"Cyrtomium fortunei",303759.325459859
"Cyrtosperma merkusii",0
"Cyrtostachys renda",20915.6901010882
"Cystopteris fragilis",53539.5589329036
"Cytisus decumbens",1530.76647802615
"Cytisus nigricans",11638.1871284081
"Dactyloctenium aegyptium",1906526.21669304
"Dalbergia melanoxylon",5491.81476113177
"Dalea candida",0
"Dalea purpurea",20.4240246802425
"Dasiphora fruticosa",194191.370092358
"Dasypyrum villosum",15871.3115809925
"Daucus aureus",14455.2701739862
"Daucus carota",5225344.43445944
"Daucus glochidiatus",0
"Daucus pusillus",0
"Decalobanthus peltatus",4944.26061441637
"Delphinium ajacis",2134369.60775444
"Delphinium consolida",190320.452893404
"Delphinium elatum",243030.819238225
"Dendrobium antennatum",0
"Dendrobium crumenatum",1636.09040243848
"Dendrobium mirbelianum",0
"Dendrolobium umbellatum",212.32827911506
"Dentella repens",114874.528220522
"Deschampsia cespitosa",182614.493921218
"Deschampsia setacea",0
"Descurainia sophia",1774615.67559692
"Dianella ensifolia",44202.4311013969
"Dianthus armeria",3537220.86124435
"Dianthus barbatus",4148168.56057981
"Dianthus campestris",0
"Dianthus carthusianorum",21667.3382006663
"Dianthus deltoides",1189185.43296727
"Dianthus giganteus",46258.4157541855
"Dichanthelium acuminatum",65190.1081497978
"Dichodon viscidum",57685.1071850338
"Dichondra repens",0
"Dichrocephala integrifolia",65562.2385458756
"Dichrostachys cinerea",75666.5082908382
"Dicranopteris flexuosa",1579.28359286594
"Dicranopteris linearis",184307.198788156
"Dictamnus albus",27647.4882851159
