"taxon_name","wcvp_accepted_id","status","redlistCategory"
"Diplotaxis muralis",2771304,"naturalized",NA
"Hordeum murinum",419414,"naturalized","Least Concern"
"Coleostephus myconis",3112542,"naturalized",NA
"Alopecurus myosuroides",391472,"naturalized",NA
"Petrorhagia nanteuilii",2409396,"naturalized",NA
"Agrostis nebulosa",389981,"naturalized",NA
"Leonotis nepetifolia",109456,"naturalized",NA
"Ballota nigra",19633,"naturalized",NA
"Mutarda nigra",2359243,"naturalized","Least Concern"
"Centaurea nigrescens",3050000,"naturalized",NA
"Helosciadium nodiflorum",2844910,"naturalized","Least Concern"
"Torilis nodosa",2438324,"naturalized",NA
"Blitum nuttallianum",2677615,"naturalized",NA
"Rumex obtusifolius",2424630,"naturalized",NA
"Delairea odorata",3086686,"naturalized",NA
"Viola odorata",2459312,"naturalized",NA
"Sisymbrium officinale",2474949,"naturalized",NA
"Symphytum officinale",2475636,"naturalized",NA
"Anchusa officinalis",2636606,"naturalized",NA
"Borago officinalis",2679695,"naturalized",NA
"Calendula officinalis",2910167,"naturalized",NA
"Fumaria officinalis",2815499,"naturalized",NA
"Melilotus officinalis",2367217,"naturalized",NA
"Melissa officinalis",124103,"naturalized",NA
"Parietaria officinalis",2546423,"naturalized",NA
"Salvia officinalis",183353,"naturalized","Least Concern"
"Saponaria officinalis",2484914,"naturalized",NA
"Galega officinalis",2816283,"naturalized",NA
"Asplenium ceterach",3145781,"naturalized",NA
"Sisymbrium orientale",2474956,"naturalized",NA
"Persicaria orientalis",2572578,"naturalized",NA
"Lagurus ovatus",421920,"naturalized",NA
"Rorippa palustris",2417173,"naturalized",NA
"Neslia paniculata",2381087,"naturalized",NA
"Tanacetum parthenium",2916972,"naturalized",NA
"Fumaria parviflora",2815524,"naturalized",NA
"Atriplex patula",2665629,"naturalized",NA
"Silene pendula",2487258,"naturalized",NA
"Lolium perenne",422848,"naturalized",NA
"Bellis perennis",2922692,"naturalized",NA
"Salicornia perennis",2480881,"naturalized","Least Concern"
"Helianthus petiolaris",3121103,"naturalized","Least Concern"
"Gastridium phleoides",417484,"naturalized",NA
"Urospermum picroides",3074098,"naturalized",NA
"Echium plantagineum",2784282,"naturalized",NA
"Tragopogon porrifolius",3075339,"naturalized",NA
"Alopecurus pratensis",391506,"naturalized",NA
"Lolium pratense",422867,"naturalized",NA
"Tragopogon pratensis",3075353,"naturalized",NA
"Sagina procumbens",2485289,"naturalized",NA
"Atriplex prostrata",2665694,"naturalized",NA
"Centaurium pulchellum",2708736,"naturalized","Least Concern"
"Rumex pulcher",2424875,"naturalized",NA
"Mentha pulegium",125243,"naturalized","Least Concern"
"Frankenia pulverulenta",2814273,"naturalized",NA
"Dysphania pumilio",2780242,"naturalized",NA
"Geranium purpureum",2823884,"naturalized",NA
"Lamium purpureum",107573,"naturalized",NA
"Geranium pusillum",2823887,"naturalized",NA
"Hordeum pusillum",419482,"naturalized","Least Concern"
"Carduus pycnocephalus",3041131,"naturalized",NA
"Ipomoea quamoclit",482262,"naturalized",NA
"Hypochaeris radicata",3074657,"naturalized",NA
"Raphanus raphanistrum",2422367,"naturalized",NA
"Rhaponticum repens",3046987,"naturalized",NA
"Hedypnois rhagadioloides",3074272,"naturalized",NA
"Catapodium rigidum",403830,"naturalized",NA
"Lolium rigidum",422874,"naturalized",NA
"Atriplex rosea",2665739,"naturalized",NA
"Geranium rotundifolium",2823982,"naturalized",NA
"Rapistrum rugosum",2422602,"naturalized",NA
"Lactuca saligna",3062309,"naturalized",NA
"Avena sativa",397860,"naturalized",NA
"Camelina sativa",2694405,"naturalized",NA
"Lactuca sativa",2912742,"naturalized",NA
"Pastinaca sativa",2403590,"naturalized",NA
