"taxon_name","ISO3_Code","overlap"
"Spergularia marina","RUS",TRUE
"Stachys arvensis","SWE",TRUE
"Staphylea pinnata","DEU",TRUE
"Stellaria pubera","USA",TRUE
"Stenanthium gramineum","USA",TRUE
"Stratiotes aloides","CHE",TRUE
"Stratiotes aloides","DEU",TRUE
"Strigosella africana","FRA",TRUE
"Strigosella africana","RUS",TRUE
"Swietenia macrophylla","BRA",TRUE
"Symphyotrichum ciliatum","RUS",TRUE
"Tanacetum cinerariifolium","CHE",FALSE
"Tanacetum vulgare","JPN",TRUE
"Tetraclinis articulata","ESP",TRUE
"Teucrium chamaedrys","GBR",TRUE
"Thymus pannonicus","RUS",TRUE
"Tilia cordata","RUS",TRUE
"Tilia platyphyllos","NOR",TRUE
"Tilia platyphyllos","SWE",TRUE
"Torilis arvensis","GBR",FALSE
"Tradescantia bracteata","USA",TRUE
"Tragopogon dubius","SWE",TRUE
"Trichomanes membranaceum","USA",TRUE
"Tricyrtis formosana","JPN",TRUE
"Triumfetta rhomboidea","SGP",TRUE
"Turnera ulmifolia","IND",FALSE
"Typha laxmannii","SVN",FALSE
"Typha minima","DEU",TRUE
"Ulex europaeus","CHE",TRUE
"Ulex europaeus","LUX",TRUE
"Ulex europaeus","NOR",FALSE
"Ulmus glabra","RUS",TRUE
"Ulmus laevis","SWE",TRUE
"Ulmus laevis","RUS",TRUE
"Ulmus minor","SWE",TRUE
"Urtica urens","NOR",TRUE
"Utricularia subulata","USA",TRUE
"Vaccinium macrocarpon","CHE",FALSE
"Vahlodea atropurpurea","TWN",TRUE
"Valeriana dentata","GBR",FALSE
"Valeriana dentata","IRL",FALSE
"Valeriana dentata","SWE",TRUE
"Valeriana eriocarpa","DEU",TRUE
"Valeriana eriocarpa","GBR",TRUE
"Valeriana rimosa","GBR",FALSE
"Valeriana rimosa","IRL",FALSE
"Valeriana rubra","MLT",TRUE
"Vallisneria spiralis","LUX",TRUE
"Verbascum blattaria","DEU",TRUE
"Verbascum densiflorum","SWE",TRUE
"Verbascum lychnitis","SWE",FALSE
"Verbascum phoeniceum","RUS",TRUE
"Verbena supina","FRA",TRUE
"Vernonia noveboracensis","USA",TRUE
"Veronica acinifolia","DEU",TRUE
"Veronica americana","USA",TRUE
"Veronica fruticulosa","DEU",TRUE
"Veronica scutellata","USA",TRUE
"Veronica spicata","RUS",TRUE
"Veronica triphyllos","GBR",FALSE
"Vicia grandiflora","RUS",TRUE
"Vicia hybrida","CHE",TRUE
"Vicia serratifolia","AUT",TRUE
"Vicia tetrasperma","PRT",TRUE
"Vicia villosa","SWE",FALSE
"Vinca major","CHE",TRUE
"Viola alba","SWE",FALSE
"Viola collina","DEU",TRUE
"Viola odorata","RUS",TRUE
"Viola tricolor","RUS",TRUE
"Vitis amurensis","RUS",TRUE
"Wolffia arrhiza","RUS",TRUE
"Xanthium spinosum","CHE",FALSE
"Xanthium strumarium","AUT",TRUE
"Xanthium strumarium","JPN",FALSE
"Youngia japonica","IND",TRUE
"Zizania latifolia","RUS",TRUE
"Zizania palustris","CAN",TRUE
"Zizania palustris","USA",TRUE
